"Clones"	"AUDCP"	"classe"
"g514"	0	1
"g121"	0	1
"g391"	0.0354772727272727	1
"g148"	0.00851931818181818	1
"g030"	0	1
"g326"	0	1
"g080"	0	1
"g001"	0	1
"g500"	0.0275863636363636	1
"g228"	0.186021022727273	3
"g432"	0.0739965909090909	1
"g167"	0.0321840909090909	1
"g483"	0.0457386363636364	1
"g258"	0.0952272727272727	2
"g093"	0	1
"g480"	0.38361875	5
"g150"	0.331877272727273	4
"g020"	0	1
"g141"	0	1
"g401"	0	1
"g306"	0.234642045454545	3
"g307"	0	1
"g451"	0.586177272727273	7
"g392"	0	1
"g178"	0.0519948863636364	1
"g424"	0.00378636363636364	1
"g103"	0.0286085227272727	1
"g151"	0	1
"g050"	0	1
"g425"	0.383522727272727	5
"g349"	0.223045454545455	3
"g179"	0	1
"g021"	0	1
"g131"	0.1780125	3
"g143"	0.234017613636364	3
"g357"	0	1
"g082"	0	1
"g218"	0	1
"g377"	0.222361363636364	3
"g285"	0.0467806818181818	1
"g247"	0	1
"g402"	0.0258522727272727	1
"g024"	0	1
"g132"	0.323623863636364	4
"g309"	0	1
"g319"	0.0348755681818182	1
"g032"	0.165748295454545	2
"g085"	0.163692613636364	2
"g219"	0.0388460227272727	1
"g298"	0.320388068181818	4
"g444"	0	1
"g403"	0	1
"g231"	0	1
"g394"	0.123295454545455	2
"g242"	0.0161835227272727	1
"g158"	0.378125	5
"g312"	0	1
"g412"	0.0381221590909091	1
"g249"	0	1
"g287"	0	1
"g232"	0	1
"g267"	0	1
"g278"	0	1
"g352"	0.49005625	6
"g042"	0	1
"g014"	0.0207613636363636	1
"g358"	0	1
"g453"	0.485511363636364	6
"g359"	0	1
"g181"	0.0212982954545455	1
"g134"	0.0321840909090909	1
"g208"	0	1
"g479"	0.2267	3
"g159"	0	1
"g125"	0.172078977272727	3
"g190"	0	1
"g197"	0	1
"g168"	0	1
"g490"	0	1
"g366"	0	1
"g105"	0.0349482954545454	1
"g435"	0	1
"g340"	0	1
"g006"	0.439405681818182	6
"g209"	0.18359375	3
"g436"	0.128489772727273	2
"g199"	0	1
"g389"	0.0241863636363636	1
"g009"	0	1
"g320"	0	1
"g416"	0.0781772727272727	1
"g446"	0.0311761363636364	1
"g399"	0	1
"g127"	0.0821465909090909	1
"g169"	0	1
"g481"	0	1
"g137"	0	1
"g313"	0.044625	1
"g064"	0	1
"g280"	0.0381818181818182	1
"g201"	0.243540909090909	3
"g128"	0	1
"g448"	0.324926704545455	4
"g271"	0.0994397727272727	2
"g368"	0.421410795454545	6
"g083"	0	1
"g369"	0	1
"g036"	0	1
"g380"	0	1
"g272"	0.0681761363636364	1
"g491"	0.275580113636364	4
"g476"	0.00995113636363636	1
"g455"	0.315256818181818	4
"g381"	0	1
"g360"	0.468863636363636	6
"g321"	0	1
"g493"	0.0241380681818182	1
"g496"	0.561122159090909	7
"g070"	0	1
"g428"	0	1
"g290"	0	1
"g456"	0	1
"g342"	0.0501318181818182	1
"g172"	0	1
"g429"	0	1
"g263"	0	1
"g331"	0	1
"g027"	0	1
"g457"	0	1
"g315"	0	1
"g038"	0	1
"g498"	0	1
"g372"	0	1
"g018"	0	1
"g292"	0.253977272727273	4
"g130"	0.226493181818182	3
"g472"	0.0298295454545455	1
"g245"	0.184090909090909	3
"g400"	0	1
"g274"	0.00692045454545454	1
"g119"	0.0104602272727273	1
"g467"	0	1
"g506"	0	1
"g074"	0	1
"g101"	0	1
"g214"	0	1
"g215"	0	1
"g204"	0	1
"g469"	0	1
"g373"	0	1
"g264"	0	1
"g474"	0.00746931818181818	1
"g364"	0	1
"g059"	0.0161079545454546	1
"g305"	0.0309090909090909	1
"g460"	0	1
"g324"	0.227486363636364	3
"g029"	0.0270454545454545	1
"g216"	0	1
"g174"	0	1
"g224"	0.532428977272727	7
"g175"	0	1
"g385"	0.113920454545455	2
"g408"	0	1
"g039"	0	1
"g049"	0.318628409090909	4
"g166"	0.101420454545455	2
"g196"	0	1
